Quận/Huyện,Tên đường/Làng xã,Đoạn: Từ - Đến,VT1,VT2,VT3,VT4,VT5,Loại,Trang
Quận 2,TRẦN NÃO,XA LỘ HÀ NỘI - LƯƠNG ĐỊNH CỦA,22.000.000,11.000.000,8.800.000,7.040.000,-,Đất ở đô thị,1
Quận 2,TRẦN NÃO,LƯƠNG ĐỊNH CỦA - CUỐI ĐƯỜNG,13.200.000,6.600.000,5.280.000,4.224.000,-,Đất ở đô thị,1
Quận 2,LƯƠNG ĐỊNH CỦA,NGÃ TƯ TRẦN NÃO - LƯƠNG ĐỊNH CỦA - MAI CHÍ THỌ (NÚT GIAO THÔNG AN PHÚ),13.200.000,6.600.000,5.280.000,4.224.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 1, PHƯỜNG BÌNH AN",TRẦN NÃO - CUỐI ĐƯỜNG,7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 2, PHƯỜNG BÌNH AN",TRẦN NÃO - CUỐI ĐƯỜNG,7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 3, PHƯỜNG BÌNH AN","ĐƯỜNG SỐ 2, PHƯỜNG BÌNH AN - ĐƯỜNG SỐ 5, PHƯỜNG BÌNH AN",7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 4, PHƯỜNG BÌNH AN","ĐƯỜNG SỐ 3, PHƯỜNG BÌNH AN - CUỐI ĐƯỜNG",5.800.000,2.900.000,2.320.000,1.856.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 5, PHƯỜNG BÌNH AN","ĐƯỜNG SỐ 3, PHƯỜNG BÌNH AN - CUỐI ĐƯỜNG",5.800.000,2.900.000,2.320.000,1.856.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 6, PHƯỜNG BÌNH AN","ĐƯỜNG SỐ 3, PHƯỜNG BÌNH AN - ĐƯỜNG SỐ 8, PHƯỜNG BÌNH AN",5.800.000,2.900.000,2.320.000,1.856.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 7, PHƯỜNG BÌNH AN","ĐƯỜNG SỐ 3, PHƯỜNG BÌNH AN - ĐƯỜNG SỐ 8, PHƯỜNG BÌNH AN",5.800.000,2.900.000,2.320.000,1.856.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 8, PHƯỜNG BÌNH AN","ĐƯỜNG SỐ 3, PHƯỜNG BÌNH AN - ĐƯỜNG SỐ 9, PHƯỜNG BÌNH AN",5.800.000,2.900.000,2.320.000,1.856.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 9, PHƯỜNG BÌNH AN","ĐƯỜNG SỐ 8, PHƯỜNG BÌNH AN - ĐƯỜNG SỐ 13, PHƯỜNG BÌNH AN",5.800.000,2.900.000,2.320.000,1.856.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 10, PHƯỜNG BÌNH AN","TRẦN NÃO - ĐƯỜNG SỐ 8, PHƯỜNG BÌNH AN",7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 11, PHƯỜNG BÌNH AN",TRẦN NÃO - CUỐI ĐƯỜNG,7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 12, PHƯỜNG BÌNH AN",TRẦN NÃO - CUỐI ĐƯỜNG,7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 13, PHƯỜNG BÌNH AN","ĐƯỜNG SỐ 12, PHƯỜNG BÌNH AN - ĐƯỜNG SỐ 9, PHƯỜNG BÌNH AN",7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 14, 15, PHƯỜNG BÌNH AN","ĐƯỜNG SỐ 12, PHƯỜNG BÌNH AN - CUỐI ĐƯỜNG",7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 16, PHƯỜNG BÌNH AN","ĐƯỜNG SỐ 14, PHƯỜNG BÌNH AN - KHU DÂN CƯ HIM LAM",7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 17, 18, PHƯỜNG BÌNH AN",TRẦN NÃO - LƯƠNG ĐỊNH CỦA,7.700.000,3.850.000,3.080.000,2.464.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 19, PHƯỜNG BÌNH AN",TRẦN NÃO - ĐƯỜNG 20,7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 19B, PHƯỜNG BÌNH AN","ĐƯỜNG SỐ 19, PHƯỜNG BÌNH AN - ĐƯỜNG SỐ 20, PHƯỜNG BÌNH AN",7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 20, PHƯỜNG BÌNH AN",TRỌN ĐƯỜNG -,8.600.000,4.300.000,3.440.000,2.752.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 21, PHƯỜNG BÌNH AN","TRẦN NÃO - ĐƯỜNG SỐ 20, PHƯỜNG BÌNH AN",8.600.000,4.300.000,3.440.000,2.752.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 22, PHƯỜNG BÌNH AN","ĐƯỜNG SỐ 21, PHƯỜNG BÌNH AN - CUỐI ĐƯỜNG",7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 23, PHƯỜNG BÌNH AN",TRẦN NÃO - CUỐI ĐƯỜNG,8.600.000,4.300.000,3.440.000,2.752.000,-,Đất ở đô thị,1
Quận 2,"ĐƯỜNG SỐ 24, PHƯỜNG BÌNH AN",TRẦN NÃO - ĐƯỜNG 25,7.800.000,3.900.000,3.120.000,2.496.000,-,Đất ở đô thị,1
